,Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Distance X,Distance Y,Distance Z
0,Away,SET PIECE,KICK OFF,1,1,0.04,0,0.0,Player19,,,,,,,,
1,Away,PASS,,1,1,0.04,3,0.12,Player19,Player21,0.45,0.39,0.55,0.43,0.10000000000000003,0.03999999999999998,0.10770329614269011
2,Away,PASS,,1,3,0.12,17,0.68,Player21,Player15,0.55,0.43,0.58,0.21,0.029999999999999916,0.22,0.22203603311174516
3,Away,PASS,,1,45,1.8,61,2.44,Player15,Player19,0.55,0.19,0.45,0.31,0.10000000000000003,0.12,0.1562049935181331
4,Away,PASS,,1,77,3.08,96,3.84,Player19,Player21,0.45,0.32,0.49,0.47,0.03999999999999998,0.14999999999999997,0.15524174696260018
5,Away,PASS,,1,191,7.64,217,8.68,Player21,Player22,0.4,0.73,0.32,0.98,0.08000000000000002,0.25,0.26248809496813374
6,Away,PASS,,1,279,11.16,303,12.12,Player22,Player17,0.39,0.96,0.49,0.98,0.09999999999999998,0.020000000000000018,0.10198039027185568
7,Away,BALL LOST,INTERCEPTION,1,346,13.84,380,15.2,Player17,,0.51,0.97,0.27,0.75,0.24,0.21999999999999997,0.3255764119219941
8,Home,RECOVERY,INTERCEPTION,1,378,15.12,378,15.12,Player2,,0.27,0.78,,,,,
9,Home,BALL LOST,INTERCEPTION,1,378,15.12,452,18.08,Player2,,0.27,0.78,0.59,0.64,0.31999999999999995,0.14,0.34928498393145957
10,Away,RECOVERY,INTERCEPTION,1,453,18.12,453,18.12,Player16,,0.57,0.67,,,,,
11,Away,BALL LOST,HEAD-INTERCEPTION,1,453,18.12,497,19.88,Player16,,0.57,0.67,0.33,0.65,0.23999999999999994,0.020000000000000018,0.24083189157584584
12,Away,CHALLENGE,AERIAL-LOST,1,497,19.88,497,19.88,Player18,,0.38,0.67,,,,,
13,Home,CHALLENGE,AERIAL-WON,1,498,19.92,498,19.92,Player2,,0.36,0.67,,,,,
